watersupply,population,waterload,time,area
250.8,4513,1149.1,2018/1/1,江西省
212.7,10077,343.3,2018/1/1,山东省
234.6,9864,339.8,2018/1/1,河南省
296.9,5917,857,2018/1/1,湖北省
337,6635,1342.9,2018/1/1,湖南省
420.9,12348,1895.1,2018/1/1,广东省
287.8,4947,1831,2018/1/1,广西壮族自治区
45.1,982,418.1,2018/1/1,海南省
77.2,3163,524.2,2018/1/1,重庆市
259.1,8321,2952.6,2018/1/1,四川省
106.8,3822,978.7,2018/1/1,贵州省
155.7,4703,2206.5,2018/1/1,云南省
31.7,354,4658.2,2018/1/1,西藏自治区
93.7,3931,371.4,2018/1/1,陕西省
112.3,2515,333.3,2018/1/1,甘肃省
26.1,587,961.9,2018/1/1,青海省
66.2,710,14.7,2018/1/1,宁夏回族自治区
548.8,2520,858.8,2018/1/1,新疆维吾尔自治区
39.5,2194,29.8,2017/1/1,北京市
27.5,1410,13,2017/1/1,天津市
181.6,7409,138.3,2017/1/1,河北省
74.9,3510,130.2,2017/1/1,山西省
188,2433,309.9,2017/1/1,内蒙古自治区
131.1,4312,186.3,2017/1/1,辽宁省
126.7,2526,394.4,2017/1/1,吉林省
353.1,3399,742.5,2017/1/1,黑龙江省
104.8,2466,34,2017/1/1,上海市
591.3,8423,392.9,2017/1/1,江苏省
179.5,6170,895.3,2017/1/1,浙江省
290.3,6057,784.9,2017/1/1,安徽省
192,4065,1055.6,2017/1/1,福建省
248,4511,1655.1,2017/1/1,江西省
209.5,10033,225.6,2017/1/1,山东省
233.8,9829,423.1,2017/1/1,河南省
290.3,5904,1248.8,2017/1/1,湖北省
326.9,6633,1912.4,2017/1/1,湖南省
433.5,12141,1786.6,2017/1/1,广东省
284.9,4907,2388,2017/1/1,广西壮族自治区
45.6,972,383.9,2017/1/1,海南省
77.4,3144,656.1,2017/1/1,重庆市
268.4,8289,2467.1,2017/1/1,四川省
103.5,3803,1051.5,2017/1/1,贵州省
156.6,4693,2202.6,2017/1/1,云南省
31.4,349,4749.9,2017/1/1,西藏自治区
93,3904,449.1,2017/1/1,陕西省
116.1,2522,238.9,2017/1/1,甘肃省
25.8,586,785.7,2017/1/1,青海省
66.1,705,10.8,2017/1/1,宁夏回族自治区
552.3,2480,1018.6,2017/1/1,新疆维吾尔自治区
38.8,2195,35.1,2016/1/1,北京市
27.2,1443,18.9,2016/1/1,天津市
182.6,7375,208.3,2016/1/1,河北省
75.5,3514,134.1,2016/1/1,山西省
190.3,2436,426.5,2016/1/1,内蒙古自治区
135.4,4327,331.6,2016/1/1,辽宁省
132.5,2567,488.8,2016/1/1,吉林省
352.6,3463,843.7,2016/1/1,黑龙江省
104.8,2467,61,2016/1/1,上海市
577.4,8381,741.7,2016/1/1,江苏省
181.1,6072,1323.3,2016/1/1,浙江省
290.7,6033,1245.2,2016/1/1,安徽省
189.1,4016,2109,2016/1/1,福建省
245.4,4496,2221.1,2016/1/1,江西省
214,9973,220.3,2016/1/1,山东省
227.6,9778,337.3,2016/1/1,河南省
282,5885,1498,2016/1/1,湖北省
330.4,6625,2196.6,2016/1/1,湖南省
435,11908,2458.6,2016/1/1,广东省
290.6,4857,2178.6,2016/1/1,广西壮族自治区
45,957,489.9,2016/1/1,海南省
77.5,3110,604.9,2016/1/1,重庆市
267.3,8251,2340.9,2016/1/1,四川省
100.3,3758,1066.1,2016/1/1,贵州省
150.2,4677,2088.9,2016/1/1,云南省
31.1,340,4642.2,2016/1/1,西藏自治区
90.8,3874,271.5,2016/1/1,陕西省
118.4,2520,168.4,2016/1/1,甘肃省
26.4,582,612.7,2016/1/1,青海省
64.9,695,9.6,2016/1/1,宁夏回族自治区
565.4,2428,1093.4,2016/1/1,新疆维吾尔自治区
38.2,2188,26.8,2015/1/1,北京市
25.7,1439,12.8,2015/1/1,天津市
187.2,7345,135.1,2015/1/1,河北省
73.6,3519,94,2015/1/1,山西省
185.8,2440,537,2015/1/1,内蒙古自治区
140.8,4338,179,2015/1/1,辽宁省
133.6,2613,331.3,2015/1/1,吉林省
355.3,3529,814.1,2015/1/1,黑龙江省
103.8,2458,64.1,2015/1/1,上海市
574.5,8315,582.1,2015/1/1,江苏省
186.1,5985,1407.1,2015/1/1,浙江省
288.7,6011,914.1,2015/1/1,安徽省
201.3,3984,1325.9,2015/1/1,福建省
245.8,4485,2001.2,2015/1/1,江西省
212.8,9866,168.4,2015/1/1,山东省
222.8,9701,287.2,2015/1/1,河南省
301.3,5850,1015.6,2015/1/1,湖北省
330.4,6615,1919.3,2015/1/1,湖南省
443.1,11678,1933.4,2015/1/1,广东省
299.3,4811,2433.6,2015/1/1,广西壮族自治区
45.8,945,198.2,2015/1/1,海南省
79,3070,456.2,2015/1/1,重庆市
265.5,8196,2220.5,2015/1/1,四川省
97.5,3708,1153.7,2015/1/1,贵州省
150.1,4663,1871.9,2015/1/1,云南省
30.8,330,3853,2015/1/1,西藏自治区
