chazhi,watersupply,population,waterload,time,area
-282.4,517.7,2095,863.8,2007/1/1,新疆维吾尔自治区
14.8,34.3,1601,22.1,2006/1/1,北京市
14.5,23,1075,10.1,2006/1/1,天津市
36.5,204,6898,107.3,2006/1/1,河北省
-42.4,59.3,3375,88.5,2006/1/1,山西省
-309.5,178.7,2415,411.3,2006/1/1,内蒙古自治区
-267.8,141.2,4271,261.4,2006/1/1,辽宁省
-468.5,102.9,2723,353.6,2006/1/1,吉林省
-1105.8,286.2,3823,727.9,2006/1/1,黑龙江省
38.9,118.6,1964,27.6,2006/1/1,上海市
28.6,546.4,7656,404.4,2006/1/1,江苏省
-862.7,208.3,5072,903.6,2006/1/1,浙江省
-1012.1,241.9,6110,580.5,2006/1/1,安徽省
-577.3,187.3,3585,1623.5,2006/1/1,福建省
-1441.5,205.7,4339,1630,2006/1/1,江西省
-152.8,225.8,9309,199.3,2006/1/1,山东省
-171.5,227,9392,321.8,2006/1/1,河南省
-1475.8,258.8,5693,639.7,2006/1/1,湖北省
-1813.8,327.7,6342,1770.3,2006/1/1,湖南省
-1220.9,459.4,9442,2216.2,2006/1/1,广东省
-1853.7,314.4,4719,1881.1,2006/1/1,广西壮族自治区
-219.6,46.5,836,227.6,2006/1/1,海南省
-696.8,73.2,2808,380.3,2006/1/1,重庆市
-3000.4,215.1,8169,1865.8,2006/1/1,四川省
-1238.5,100,3690,814.6,2006/1/1,贵州省
-1643.2,144.8,4483,1711.7,2006/1/1,云南省
-4565.1,35,285,4157.1,2006/1/1,西藏自治区
-329,84.1,3699,275.5,2006/1/1,陕西省
-298.1,122.3,2547,184.6,2006/1/1,甘肃省
-987.6,32.2,548,569,2006/1/1,青海省
59.2,77.6,604,10.6,2006/1/1,宁夏回族自治区
-230.6,513.4,2050,953.1,2006/1/1,新疆维吾尔自治区
-20.5,34.5,1538,23.2,2005/1/1,北京市
-7.5,23.1,1043,10.6,2005/1/1,天津市
-194.7,201.8,6851,134.6,2005/1/1,河北省
-135.3,55.7,3355,84.1,2005/1/1,山西省
-751.2,174.8,2403,456.2,2005/1/1,内蒙古自治区
-382.7,133.3,4221,377.2,2005/1/1,辽宁省
-349,98.4,2716,559.7,2005/1/1,吉林省
-871.8,271.5,3820,744.3,2005/1/1,黑龙江省
51.9,121.3,1890,24.5,2005/1/1,上海市
66.7,519.7,7588,467,2005/1/1,江苏省
-1178.3,209.9,4991,1014.4,2005/1/1,浙江省
-611.6,208,6120,719.3,2005/1/1,安徽省
-576.1,186.9,3557,1401.1,2005/1/1,福建省
-1170.3,208.1,4311,1510.1,2005/1/1,江西省
-315.2,211,9248,415.9,2005/1/1,山东省
-466.3,197.8,9380,558.5,2005/1/1,河南省
-852.7,253.4,5710,934,2005/1/1,湖北省
-1468.2,328.4,6326,1671,2005/1/1,湖南省
-814.2,459,9194,1747.5,2005/1/1,广东省
-1272.7,312.9,4660,1720.8,2005/1/1,广西壮族自治区
-296.6,44.1,828,307.3,2005/1/1,海南省
-678.7,71.2,2798,509.8,2005/1/1,重庆市
-2680.2,212.3,8212,2922.6,2005/1/1,四川省
-987.3,97.2,3730,834.6,2005/1/1,贵州省
-1455.5,146.8,4450,1846.4,2005/1/1,云南省
-4376.5,33.2,280,4451.1,2005/1/1,西藏自治区
-760.7,78.8,3690,490.6,2005/1/1,陕西省
-168.9,123,2545,269.6,2005/1/1,甘肃省
-817.7,30.7,543,876.1,2005/1/1,青海省
58.8,78.1,596,8.5,2005/1/1,宁夏回族自治区
-235.1,508.5,2010,962.8,2005/1/1,新疆维吾尔自治区
16.3,34.6,1493,21.3,2004/1/1,北京市
17,22.1,1024,14.3,2004/1/1,天津市
-5.6,195.9,6809,154.2,2004/1/1,河北省
-81.4,55.9,3335,92.5,2004/1/1,山西省
-317.7,171.5,2393,437.6,2004/1/1,内蒙古自治区
-435.7,130.2,4217,285.7,2004/1/1,辽宁省
-600.6,99.2,2709,323.7,2004/1/1,吉林省
-610.8,259.4,3817,652.1,2004/1/1,黑龙江省
72.6,118.1,1835,25,2004/1/1,上海市
419,525.6,7523,204,2004/1/1,江苏省
-766.5,207.8,4925,675.7,2004/1/1,浙江省
-244.7,209.7,6228,500.7,2004/1/1,安徽省
-1006.8,184.9,3529,712.2,2004/1/1,福建省
-1286.4,203.5,4284,1034.6,2004/1/1,江西省
-291.9,214.9,9180,349.5,2004/1/1,山东省
-21.4,200.7,9717,406.6,2004/1/1,河南省
-361.1,242.7,5698,926.4,2004/1/1,湖北省
-1352.8,323.6,6698,1641.3,2004/1/1,湖南省
-1821.9,464.8,9111,1187.7,2004/1/1,广东省
-1944.5,290.8,4889,1604.5,2004/1/1,广西壮族自治区
-318.2,46.3,818,171.1,2004/1/1,海南省
-304.7,67.5,2793,558.8,2004/1/1,重庆市
-1957.6,210.4,8090,2434.2,2004/1/1,四川省
-816.1,94.3,3904,991,2004/1/1,贵州省
-1579.4,146.9,4415,2106.3,2004/1/1,云南省
-4107.9,28,276,4665.2,2004/1/1,西藏自治区
-270.9,75.5,3681,309.4,2004/1/1,陕西省
-118.1,121.8,2541,171.9,2004/1/1,甘肃省
-701.2,30.2,539,606.8,2004/1/1,青海省
57.4,74,588,9.9,2004/1/1,宁夏回族自治区
-347.7,497.1,1963,855.4,2004/1/1,新疆维吾尔自治区
