量,时间,地区
3758,2016/1/1,贵州省
4677,2016/1/1,云南省
340,2016/1/1,西藏自治区
3874,2016/1/1,陕西省
2520,2016/1/1,甘肃省
582,2016/1/1,青海省
695,2016/1/1,宁夏回族自治区
2428,2016/1/1,新疆维吾尔自治区
2188,2015/1/1,北京市
1439,2015/1/1,天津市
7345,2015/1/1,河北省
3519,2015/1/1,山西省
2440,2015/1/1,内蒙古自治区
4338,2015/1/1,辽宁省
2613,2015/1/1,吉林省
3529,2015/1/1,黑龙江省
2458,2015/1/1,上海市
8315,2015/1/1,江苏省
5985,2015/1/1,浙江省
6011,2015/1/1,安徽省
3984,2015/1/1,福建省
4485,2015/1/1,江西省
9866,2015/1/1,山东省
9701,2015/1/1,河南省
5850,2015/1/1,湖北省
6615,2015/1/1,湖南省
11678,2015/1/1,广东省
4811,2015/1/1,广西壮族自治区
945,2015/1/1,海南省
3070,2015/1/1,重庆市
8196,2015/1/1,四川省
3708,2015/1/1,贵州省
4663,2015/1/1,云南省
330,2015/1/1,西藏自治区
3846,2015/1/1,陕西省
2523,2015/1/1,甘肃省
577,2015/1/1,青海省
684,2015/1/1,宁夏回族自治区
2385,2015/1/1,新疆维吾尔自治区
2171,2014/1/1,北京市
1429,2014/1/1,天津市
7323,2014/1/1,河北省
3528,2014/1/1,山西省
2449,2014/1/1,内蒙古自治区
4358,2014/1/1,辽宁省
2642,2014/1/1,吉林省
3608,2014/1/1,黑龙江省
2467,2014/1/1,上海市
8281,2014/1/1,江苏省
5890,2014/1/1,浙江省
5997,2014/1/1,安徽省
3945,2014/1/1,福建省
4480,2014/1/1,江西省
9808,2014/1/1,山东省
9645,2014/1/1,河南省
5816,2014/1/1,湖北省
6611,2014/1/1,湖南省
11489,2014/1/1,广东省
4770,2014/1/1,广西壮族自治区
936,2014/1/1,海南省
3043,2014/1/1,重庆市
8139,2014/1/1,四川省
3677,2014/1/1,贵州省
4653,2014/1/1,云南省
325,2014/1/1,西藏自治区
3827,2014/1/1,陕西省
2531,2014/1/1,甘肃省
576,2014/1/1,青海省
678,2014/1/1,宁夏回族自治区
2325,2014/1/1,新疆维吾尔自治区
2125,2013/1/1,北京市
1410,2013/1/1,天津市
7288,2013/1/1,河北省
3535,2013/1/1,山西省
2455,2013/1/1,内蒙古自治区
4365,2013/1/1,辽宁省
2668,2013/1/1,吉林省
3666,2013/1/1,黑龙江省
2448,2013/1/1,上海市
8192,2013/1/1,江苏省
5784,2013/1/1,浙江省
5988,2013/1/1,安徽省
3885,2013/1/1,福建省
4476,2013/1/1,江西省
9746,2013/1/1,山东省
9573,2013/1/1,河南省
5798,2013/1/1,湖北省
6600,2013/1/1,湖南省
11270,2013/1/1,广东省
4731,2013/1/1,广西壮族自治区
920,2013/1/1,海南省
3011,2013/1/1,重庆市
8109,2013/1/1,四川省
3632,2013/1/1,贵州省
4641,2013/1/1,云南省
317,2013/1/1,西藏自治区
3804,2013/1/1,陕西省
2537,2013/1/1,甘肃省
571,2013/1/1,青海省
666,2013/1/1,宁夏回族自治区
2285,2013/1/1,新疆维吾尔自治区
2078,2012/1/1,北京市
1378,2012/1/1,天津市
7262,2012/1/1,河北省
3548,2012/1/1,山西省
2464,2012/1/1,内蒙古自治区
4375,2012/1/1,辽宁省
2698,2012/1/1,吉林省
3724,2012/1/1,黑龙江省
2399,2012/1/1,上海市
8120,2012/1/1,江苏省
5685,2012/1/1,浙江省
5978,2012/1/1,安徽省
3841,2012/1/1,福建省
4475,2012/1/1,江西省
9708,2012/1/1,山东省
9532,2012/1/1,河南省
5781,2012/1/1,湖北省
6590,2012/1/1,湖南省
11041,2012/1/1,广东省
4694,2012/1/1,广西壮族自治区
910,2012/1/1,海南省
2975,2012/1/1,重庆市
8085,2012/1/1,四川省
3587,2012/1/1,贵州省
4631,2012/1/1,云南省
315,2012/1/1,西藏自治区
3787,2012/1/1,陕西省
2550,2012/1/1,甘肃省
571,2012/1/1,青海省
659,2012/1/1,宁夏回族自治区
2253,2012/1/1,新疆维吾尔自治区
2024,2011/1/1,北京市
1341,2011/1/1,天津市
7232,2011/1/1,河北省
3562,2011/1/1,山西省
2470,2011/1/1,内蒙古自治区
4379,2011/1/1,辽宁省
2725,2011/1/1,吉林省
3782,2011/1/1,黑龙江省
2356,2011/1/1,上海市
8023,2011/1/1,江苏省
5570,2011/1/1,浙江省
5972,2011/1/1,安徽省
3784,2011/1/1,福建省
4474,2011/1/1,江西省
9665,2011/1/1,山东省
9461,2011/1/1,河南省
5760,2011/1/1,湖北省
6581,2011/1/1,湖南省
10756,2011/1/1,广东省
4655,2011/1/1,广西壮族自治区
890,2011/1/1,海南省
2944,2011/1/1,重庆市
8064,2011/1/1,四川省
3530,2011/1/1,贵州省
4620,2011/1/1,云南省
309,2011/1/1,西藏自治区
3765,2011/1/1,陕西省
2552,2011/1/1,甘肃省
568,2011/1/1,青海省
648,2011/1/1,宁夏回族自治区
2225,2011/1/1,新疆维吾尔自治区
1962,2010/1/1,北京市
1299,2010/1/1,天津市
7194,2010/1/1,河北省
3574,2010/1/1,山西省
2472,2010/1/1,内蒙古自治区
4375,2010/1/1,辽宁省
2747,2010/1/1,吉林省
3833,2010/1/1,黑龙江省
2303,2010/1/1,上海市
7869,2010/1/1,江苏省
5447,2010/1/1,浙江省
5957,2010/1/1,安徽省
3693,2010/1/1,福建省
4462,2010/1/1,江西省
9588,2010/1/1,山东省
9405,2010/1/1,河南省
5728,2010/1/1,湖北省
6570,2010/1/1,湖南省
10441,2010/1/1,广东省
4610,2010/1/1,广西壮族自治区
869,2010/1/1,海南省
2885,2010/1/1,重庆市
8045,2010/1/1,四川省
3479,2010/1/1,贵州省
4602,2010/1/1,云南省
300,2010/1/1,西藏自治区
3735,2010/1/1,陕西省
2560,2010/1/1,甘肃省
563,2010/1/1,青海省
633,2010/1/1,宁夏回族自治区
2185,2010/1/1,新疆维吾尔自治区
1860,2009/1/1,北京市
1228,2009/1/1,天津市
7034,2009/1/1,河北省
3427,2009/1/1,山西省
2458,2009/1/1,内蒙古自治区
4341,2009/1/1,辽宁省
2740,2009/1/1,吉林省
3826,2009/1/1,黑龙江省
2210,2009/1/1,上海市
7810,2009/1/1,江苏省
5276,2009/1/1,浙江省
6131,2009/1/1,安徽省
3666,2009/1/1,福建省
4432,2009/1/1,江西省
9470,2009/1/1,山东省
9487,2009/1/1,河南省
5720,2009/1/1,湖北省
6406,2009/1/1,湖南省
10130,2009/1/1,广东省
4856,2009/1/1,广西壮族自治区
864,2009/1/1,海南省
2859,2009/1/1,重庆市
8185,2009/1/1,四川省
3537,2009/1/1,贵州省
4571,2009/1/1,云南省
296,2009/1/1,西藏自治区
3727,2009/1/1,陕西省
2555,2009/1/1,甘肃省
557,2009/1/1,青海省
625,2009/1/1,宁夏回族自治区
2159,2009/1/1,新疆维吾尔自治区
1771,2008/1/1,北京市
1176,2008/1/1,天津市
6989,2008/1/1,河北省
3411,2008/1/1,山西省
2444,2008/1/1,内蒙古自治区
4315,2008/1/1,辽宁省
2734,2008/1/1,吉林省
3825,2008/1/1,黑龙江省
2141,2008/1/1,上海市
7762,2008/1/1,江苏省
5212,2008/1/1,浙江省
6135,2008/1/1,安徽省
3639,2008/1/1,福建省
4400,2008/1/1,江西省
9417,2008/1/1,山东省
9429,2008/1/1,河南省
5711,2008/1/1,湖北省
6380,2008/1/1,湖南省
9893,2008/1/1,广东省
4816,2008/1/1,广西壮族自治区
854,2008/1/1,海南省
2839,2008/1/1,重庆市
8138,2008/1/1,四川省
3596,2008/1/1,贵州省
4543,2008/1/1,云南省
292,2008/1/1,西藏自治区
3718,2008/1/1,陕西省
2551,2008/1/1,甘肃省
554,2008/1/1,青海省
618,2008/1/1,宁夏回族自治区
2131,2008/1/1,新疆维吾尔自治区
